epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11752.2,1.77241,1.09512,1.58607,0.87768,0.8361,0.87404,0.45021,1.69575,0.9686,1.71508,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,12113.5,1.76421,1.09095,1.57961,0.87706,0.83512,0.87309,0.45165,1.68513,0.9644,1.70627,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,12473.2,1.76378,1.08778,1.57252,0.87577,0.83806,0.8719,0.45012,1.69034,0.96309,1.70721,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,12833.9,1.75137,1.08167,1.57012,0.8777,0.8374,0.87296,0.45081,1.68611,0.96347,1.70591,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,13193.4,1.75536,1.08051,1.57154,0.87596,0.83892,0.87136,0.45205,1.68232,0.96233,1.69978,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,13553.1,1.74606,1.06292,1.55601,0.8795,0.83881,0.87319,0.45201,1.68626,0.95818,1.70005,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,13912,1.75623,1.07233,1.56485,0.87948,0.8342,0.87168,0.45228,1.68666,0.95436,1.69642,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,14269,1.74567,1.07533,1.55567,0.877,0.83657,0.87331,0.45226,1.68618,0.95358,1.69651,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,14628.8,1.73351,1.05119,1.55007,0.87963,0.83593,0.87399,0.45257,1.68394,0.94628,1.69291,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,14988.3,1.73265,1.0549,1.55319,0.87766,0.8358,0.87353,0.4524,1.68431,0.94276,1.69269,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,15366.1,1.73125,1.04971,1.54185,0.87812,0.83553,0.87354,0.45255,1.68738,0.9414,1.69288,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,15772.1,1.72827,1.04484,1.53701,0.87723,0.83736,0.87173,0.4516,1.68854,0.94032,1.69094,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,16132.2,1.72606,1.048,1.52438,0.87848,0.83646,0.87209,0.45189,1.68947,0.93783,1.68843,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,16491.7,1.72798,1.05509,1.53656,0.88082,0.8366,0.87234,0.4499,1.69089,0.93646,1.68754,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,16850.5,1.7205,1.03809,1.52143,0.87897,0.84043,0.87185,0.44986,1.69182,0.93296,1.68541,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,17209.8,1.71149,1.0326,1.52108,0.87889,0.83953,0.87165,0.44922,1.69192,0.93025,1.68329,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,17568.4,1.70213,1.02713,1.50875,0.88033,0.83956,0.87192,0.4491,1.69264,0.92801,1.68217,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,17927.3,1.69547,1.02632,1.50731,0.8798,0.83993,0.87223,0.44972,1.69268,0.92652,1.68091,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,18284.1,1.70323,1.0176,1.50594,0.88152,0.83913,0.87193,0.44979,1.69373,0.92611,1.6815,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,18640.5,1.69814,1.01054,1.50798,0.879,0.83806,0.87164,0.44966,1.69235,0.92598,1.68037,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,19000.1,1.69311,1.00121,1.50493,0.87782,0.83913,0.87202,0.44977,1.6922,0.92374,1.67979,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,19358.6,1.68675,1.00827,1.49843,0.87829,0.83803,0.87186,0.4494,1.69335,0.92222,1.6798,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,19717.1,1.68861,0.9963,1.50258,0.87961,0.8374,0.87179,0.44923,1.69487,0.92096,1.68033,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,20108.1,1.68346,0.99741,1.4951,0.88284,0.83692,0.87267,0.44897,1.6955,0.92021,1.68007,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,20522.4,1.67845,0.99574,1.49684,0.88286,0.83793,0.87357,0.44899,1.69617,0.91981,1.68045,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,20882.6,1.67782,0.98508,1.49213,0.882,0.83806,0.87369,0.44863,1.69726,0.91823,1.68039,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,21250.7,1.66898,0.98511,1.48796,0.88246,0.83988,0.87418,0.44845,1.69741,0.91832,1.67964,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,21610,1.6654,0.978,1.48149,0.88141,0.84034,0.87393,0.44795,1.69807,0.91785,1.67922,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,21968.2,1.66738,0.97741,1.47902,0.88314,0.83935,0.87335,0.44792,1.69848,0.91711,1.67812,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
